人名1	人名2	预测	目标
文洁若	萧干	夫妻	夫妻
同治	慈禧太后	夫妻	父母
林和平	李念	夫妻	夫妻
朱咏婷	谭咏麟	夫妻	情侣
刘备	刘禅	父母	父母
陶铸	曾志	夫妻	夫妻
梅兰芳	徐兰沅	师生	亲戚
赵本山	小沈阳	师生	师生
吕隆	吕光	父母	父母
王个簃	诸宗元	师生	好友
孙中山	宋庆龄	夫妻	夫妻
林翠	曾江	兄弟姐妹	兄弟姐妹
李甲	杜十娘	夫妻	情侣
严庆龄	吴舜文	夫妻	夫妻
伏明霞	于芬	师生	师生
周芷若	灭绝师太	夫妻	师生
周芷若	张无忌	夫妻	夫妻
曹丕	曹植	父母	兄弟姐妹
林艾为	林心如	兄弟姐妹	兄弟姐妹
郭增庆	郭颂	夫妻	兄弟姐妹
孙权	甘宁	兄弟姐妹	上下级
李烈	罗大佑	夫妻	夫妻
权甲龙	姜东润	师生	师生
刘文步	郑福山	合作	合作
贺晓明	贺龙	父母	父母
贺黎明	贺龙	父母	父母
赵建铭	陈水扁	父母	父母
陈水扁	陈幸妤	父母	父母
杨铁柱	杨盛春	父母	父母
郭台铭	黄子容	父母	父母
钟腾福	张洁雯	夫妻	夫妻
雒芊芊	陈天桥	夫妻	夫妻
张宁益	马琳	夫妻	夫妻
侯耀文	袁茵	夫妻	夫妻
贺龙	蹇先任	夫妻	夫妻
黄美芸	高锟	夫妻	夫妻
关羽	关兴	父母	父母
虞姬	项羽	夫妻	夫妻
张须陀	秦叔宝	父母	上下级
曹丕	曹植	父母	兄弟姐妹
曹植	曹操	父母	父母
阿信	五月天	合作	合作
小龙女	杨过	夫妻	夫妻
苗侨伟	戚美珍	夫妻	夫妻
钱复	钱思亮	父母	父母
李宗仁	胡友松	夫妻	夫妻
陈红	黄希庭	合作	合作
郑涌	黄希庭	合作	合作
吕后	刘邦	夫妻	夫妻
周海婴	许广平	父母	父母
宇桐非	胡海泉	情侣	师生
戴乃迭	杨宪益	师生	夫妻
严庆龄	吴舜文	夫妻	夫妻
武大	潘金莲	父母	夫妻
戴俊英	顾慰连	合作	夫妻
赵本山	小沈阳	师生	师生
高新新	阿泰斯特	夫妻	情侣
林黛玉	贾雨村	夫妻	师生
李小璐	贾乃亮	夫妻	情侣
蔡依珊	连胜文	夫妻	夫妻
侯耀文	侯瓒	父母	父母
常宝华	牛群	师生	师生
林建岳	林孝贤	父母	父母
戴乃迭	杨宪益	夫妻	夫妻
赵一荻	张学良	夫妻	夫妻
杨德昌	彭铠立	夫妻	夫妻
杜宪	陈格	父母	父母
高拱	徐阶	夫妻	合作
犬夜叉	杀生丸	父母	兄弟姐妹
康子林	周慕莲	合作	师生
周玖	关栋天	夫妻	夫妻
毛岸英	刘思齐	夫妻	夫妻
武崇训	武三思	夫妻	父母
元彪	成龙	同门	同门
元彪	元奎	同门	合作
洪金宝	元奎	同门	同门
汤洛雯	汤镇宗	父母	父母
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
吕正操	张学良	夫妻	合作
房道龙	房仕胜	父母	父母
吕雉	吕释之	父母	兄弟姐妹
斯内德	约兰特	夫妻	情侣
曾江	林翠	父母	兄弟姐妹
倪桂珍	宋庆龄	夫妻	父母
梁思成	林徽因	夫妻	夫妻
张惠妹	张雨生	合作	师生
邱羿霖	孙道存	夫妻	情侣
朱咏婷	谭咏麟	夫妻	情侣
阎立品	梅兰芳	师生	师生
吕雉	刘邦	夫妻	夫妻
吕后	刘邦	夫妻	夫妻
陈小春	应采儿	夫妻	夫妻
甘泗淇	李贞	夫妻	夫妻
安东尼	詹姆斯	合作	合作
张宁益	马琳	夫妻	夫妻
曹植	曹操	父母	父母
蒋勤勤	陈建斌	夫妻	夫妻
赵一荻	张学良	夫妻	夫妻
李圣根	晏紫	夫妻	夫妻
林艾为	林心如	兄弟姐妹	兄弟姐妹
元奎	李连杰	合作	合作
张须陀	秦叔宝	父母	上下级
陈洁如	蒋介石	夫妻	夫妻
曹真	夏侯尚	兄弟姐妹	兄弟姐妹
李元霸	李渊	夫妻	父母
李嘉欣	许晋亨	父母	夫妻
刘邦	吕雉	夫妻	夫妻
甘泗淇	李贞	夫妻	夫妻
薛觉先	白雪仙	合作	师生
张善椿	盖叫天	合作	祖孙
卢俊义	燕青	父母	上下级
小龙女	杨过	夫妻	夫妻
林立果	林彪	父母	父母
李亚伟	李亚鹏	父母	兄弟姐妹
中村狮童	竹内结子	夫妻	夫妻
罗嘉瑞	罗鹰石	父母	父母
杜丽	庞伟	夫妻	夫妻
郑洁	李娜	合作	合作
彭帅	李娜	合作	合作
汪小菲	张雨绮	情侣	情侣
李嘉欣	许晋亨	夫妻	夫妻
佟文	吴卫凤	夫妻	师生
蔡惠媚	蒋孝武	夫妻	夫妻
澹台灭明	孔子	师生	师生
程颖	吕大临	父母	师生
赵岭	袁立	夫妻	夫妻
刘惠宁	陈小艺	夫妻	夫妻
魏轶力	张洁雯	合作	合作
李孝贞	李敬元	合作	合作
慈禧	同治	父母	父母
马伊琍	文章	夫妻	夫妻
澹台灭明	孔子	师生	师生
陈昊苏	陈毅	父母	父母
高拱	徐阶	夫妻	合作
郑秀文	张卫健	夫妻	好友
关楚耀	卫诗	兄弟姐妹	情侣
翁家明	俞小凡	夫妻	夫妻
佐藤屋登	蒋百里	夫妻	夫妻
华娃	黄霑	夫妻	夫妻
孙鲁育	孙鲁班	父母	兄弟姐妹
林慧萍	姜育恒	夫妻	情侣
吴慈美	林志玲	父母	父母
张丹峰	张浩锋	夫妻	父母
陈奕迅	徐濠萦	夫妻	夫妻
曹冲	环夫人	夫妻	父母
李小龙	李香凝	父母	父母
毛毛	王金龙	夫妻	夫妻
鲁元公主	张敖	父母	夫妻
冯远征	梁丹妮	夫妻	夫妻
白先勇	白崇禧	父母	父母
贺晓明	贺龙	父母	父母
王传一	曾少宗	父母	合作
武则天	太平公主	父母	父母
赵本山	小沈阳	合作	师生
安东尼	詹姆斯	父母	合作
初永真	郭守正	父母	祖孙
郭晓玲	郭守正	父母	兄弟姐妹
林淑如	郭守正	父母	父母
毛岸英	刘思齐	夫妻	夫妻
唐肃宗	唐代宗	父母	父母
杨宁	周云帆	夫妻	合作
姜大卫	秦沛	兄弟姐妹	兄弟姐妹
米思翰	傅恒	父母	祖孙
周有光	张允和	夫妻	夫妻
佐藤屋登	蒋百里	父母	夫妻
李暹	李豫	父母	父母
毛舜筠	张国荣	夫妻	情侣
海瑞	徐阶	父母	合作
车新港	陈中	夫妻	夫妻
拖雷	成吉思汗	父母	父母
元睿宗	忽必烈	父母	父母
姜昆	戴志诚	合作	合作
王刚	成方圆	夫妻	夫妻
关羽	关兴	父母	父母
刘伯玲	桑振君	师生	师生
赵贞玉	常俊丽	同门	同门
苗文华	常俊丽	同门	同门
桑振君	郭英丽	师生	师生
曹植	曹丕	父母	兄弟姐妹
邱羿霖	孙道存	夫妻	情侣
陈香梅	陈纳德	夫妻	夫妻
王辞茵	王令麟	兄弟姐妹	父母
严慰冰	陆德	父母	父母
林青霞	邢李源	夫妻	夫妻
彭德怀	彭梅魁	夫妻	亲戚
吴慈美	林志玲	父母	父母
杨武之	杨振宁	父母	父母
胡友松	李宗仁	夫妻	夫妻
陈数	赵胤胤	夫妻	夫妻
关楚耀	卫诗	夫妻	情侣
焦裕禄	焦守云	父母	父母
周有光	张允和	夫妻	夫妻
李小龙	李香凝	父母	父母
张东健	高小英	夫妻	夫妻
李世民	长孙皇后	父母	夫妻
谢逊	张无忌	父母	父母
凌潇肃	唐一菲	父母	夫妻
解宝	解珍	父母	兄弟姐妹
刘伯明	刘柏真	兄弟姐妹	兄弟姐妹
詹咏然	庄佳容	合作	合作
孙甜甜	李婷	合作	合作
许冠杰	许冠文	兄弟姐妹	兄弟姐妹
徐天利	胡荣华	夫妻	师生
吕后	刘邦	父母	夫妻
罗敏庄	陈国邦	夫妻	夫妻
宋逸民	张庭	情侣	情侣
连战	连惠心	父母	父母
连方瑀	蔡依珊	父母	父母
蔡依珊	连惠心	父母	兄弟姐妹
牛魔王	铁扇公主	夫妻	夫妻
陈家英	尹靖	师生	师生
何超贤	黎婉华	夫妻	父母
何超贤	何鸿燊	父母	父母
任剑辉	芳艳芬	合作	合作
侯耀文	袁茵	夫妻	夫妻
刘谌	刘禅	父母	父母
汉武帝	窦太后	父母	祖孙
徐有贞	祝允明	夫妻	祖孙
梁咏琪	郑伊健	夫妻	情侣
林艾为	林心如	兄弟姐妹	兄弟姐妹
杨小娟	吕良伟	夫妻	夫妻
元彪	成龙	同门	同门
周有光	张允和	夫妻	夫妻
张兆和	沈从文	夫妻	夫妻
李菁	何云伟	合作	合作
李菁	高峰	合作	同门
郭令山	郭晋安	父母	父母
欧倩怡	郭晋安	父母	夫妻
周芷若	张无忌	夫妻	夫妻
李泽楷	梁洛施	父母	情侣
王学兵	冯钰棋	夫妻	夫妻
邓光荣	邓光宙	夫妻	兄弟姐妹
郭晓玲	郭守正	兄弟姐妹	兄弟姐妹
蔡依珊	连胜文	父母	夫妻
张惠妹	张雨生	合作	师生
王傲山	李彩桦	情侣	情侣
郝寿臣	马富禄	合作	合作
郝明莉	毛新宇	夫妻	夫妻
武崇训	武三思	夫妻	父母
陈鹤年	陈延年	兄弟姐妹	兄弟姐妹
陈鹤年	陈松年	兄弟姐妹	兄弟姐妹
陶曾谷	蒋梦麟	夫妻	夫妻
姚维钧	黄炎培	夫妻	夫妻
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
李政道	杨振宁	夫妻	合作
刘永好	刘永行	夫妻	兄弟姐妹
李菁	何云伟	合作	合作
付洋	彭真	父母	父母
王菲	李嫣	夫妻	父母
蒙毅	蒙恬	父母	兄弟姐妹
郭荣起	张振圻	父母	合作
周信芳	王鸿寿	师生	师生
谢晖	佟晨洁	夫妻	夫妻
解珍	解宝	兄弟姐妹	兄弟姐妹
王大庆	孙昌宁	父母	父母
林立果	林彪	父母	父母
沈殿霞	郑欣宜	夫妻	父母
刘伯玲	桑振君	师生	师生
赵贞玉	常俊丽	同门	同门
苗文华	常俊丽	同门	同门
桑振君	郭英丽	师生	师生
黄睿靓	陈致中	父母	夫妻
毛泽东	李讷	父母	父母
李松舟	李清漪	夫妻	兄弟姐妹
刘邦	吕雉	夫妻	夫妻
王祖贤	齐秦	夫妻	情侣
阎立品	梅兰芳	师生	师生
连战	连惠心	父母	父母
连惠心	连胜武	父母	兄弟姐妹
丁一岚	邓拓	夫妻	夫妻
钱嘉乐	汤盈盈	夫妻	夫妻
黄铁良	陈凤芸	夫妻	夫妻
吕雉	刘邦	夫妻	夫妻
莫少聪	洪欣	夫妻	情侣
李宗伟	黄妙珠	夫妻	情侣
蔡惠媚	蒋孝武	夫妻	夫妻
梁思成	林徽因	夫妻	夫妻
吴淑珍	陈水扁	夫妻	夫妻
阮瑀	阮籍	父母	父母
唐太宗	长孙无忌	父母	兄弟姐妹
犬夜叉	杀生丸	父母	兄弟姐妹
加藤罗莎	松井大辅	夫妻	夫妻
蒋方舟	尚爱兰	夫妻	父母
五月天	阿信	兄弟姐妹	合作
五月天	陈信宏	兄弟姐妹	合作
杨德昌	彭铠立	夫妻	夫妻
杨德昌	蔡琴	夫妻	夫妻
洪学智	馀秋里	夫妻	合作
许冠杰	许冠文	兄弟姐妹	兄弟姐妹
连战	连惠心	父母	父母
林翠	曾江	父母	兄弟姐妹
谢晖	佟晨洁	夫妻	夫妻
林月琴	罗荣桓	夫妻	夫妻
姜昆	戴志诚	合作	合作
赵本山	小沈阳	好友	师生
秦汉	孙元良	夫妻	父母
郭可盈	林文龙	夫妻	夫妻
朱岚	陶勇	夫妻	夫妻
王浩信	陈自瑶	情侣	夫妻
成吉思汗	孛儿帖	父母	夫妻
苗彤	苗侨伟	父母	父母
苗侨伟	戚美珍	父母	夫妻
彭帅	谢淑薇	合作	合作
智能儿	秦钟	夫妻	情侣
李圣根	晏紫	夫妻	夫妻
薛世恒	陈法拉	情侣	情侣
马思纯	蒋雯丽	夫妻	亲戚
元彪	成龙	同门	同门
梁思成	林徽因	夫妻	夫妻
赵薇	王励勤	情侣	情侣
小龙女	杨过	夫妻	夫妻
朱咏婷	谭咏麟	夫妻	情侣
凌潇肃	唐一菲	夫妻	夫妻
诸邑公主	卫子夫	兄弟姐妹	父母
卫子夫	卫长公主	父母	父母
李政道	杨振宁	兄弟姐妹	合作
鲍蕾	陆毅	夫妻	夫妻
马英九	周美青	父母	夫妻
杜丽	庞伟	夫妻	夫妻
刘邦	吕后	夫妻	夫妻
刘邦	吕雉	夫妻	夫妻
施小墨	施今墨	父母	父母
项羽	虞姬	夫妻	夫妻
刘惠宁	陈小艺	夫妻	夫妻
杜宪	陈道明	父母	夫妻
郑克塽	郑经	父母	父母
郑成功	郑经	父母	父母
李嘉欣	许晋亨	夫妻	夫妻
谢晖	佟晨洁	夫妻	夫妻
倪桂珍	宋耀如	夫妻	夫妻
王羲之	卫夫人	师生	师生
麦嘉轩	刘遵义	情侣	夫妻
虞姬	项羽	父母	夫妻
安贞焕	李惠媛	夫妻	夫妻
唐太宗	长孙无忌	夫妻	兄弟姐妹
李孝贞	李敬元	合作	合作
陈洁如	蒋介石	父母	夫妻
林徽因	林长民	父母	父母
林长民	林觉民	兄弟姐妹	兄弟姐妹
吴镇宇	黄秋生	合作	好友
贺龙	贺黎明	父母	父母
朱孝天	周渝民	合作	合作
言承旭	吴建豪	合作	合作
武则天	太平公主	夫妻	父母
孙权	甘宁	父母	上下级
殷旭	章子怡	夫妻	兄弟姐妹
长濑智也	滨崎步	夫妻	情侣
付小芳	刘莎莎	夫妻	同门
文爱马	马伊琍	父母	父母
马伊琍	文章	夫妻	夫妻
犬夜叉	犬大将	父母	父母
吕正操	张学良	夫妻	合作
梁红玉	韩世忠	夫妻	夫妻
任剑辉	梅雪诗	合作	师生
宋祖英	宋佳玲	兄弟姐妹	兄弟姐妹
武则天	太平公主	夫妻	父母
赵岭	袁立	夫妻	夫妻
卢俊义	燕青	父母	上下级
张菲	费贞绫	兄弟姐妹	兄弟姐妹
蒋经国	蒋孝章	夫妻	父母
郑成功	郑经	父母	父母
李宁	陈永妍	合作	夫妻
虞姬	项羽	父母	夫妻
吴法宪	林彪	父母	合作
郑洁	晏紫	合作	合作
郑洁	李娜	合作	合作
吴淑珍	陈水扁	父母	夫妻
虞姬	项羽	父母	夫妻
周汤豪	比莉	父母	父母
王祖贤	齐秦	夫妻	情侣
鲍金龙	傅全香	合作	师生
黄志忠	何音	夫妻	夫妻
李小龙	李香凝	父母	父母
元稹	白居易	夫妻	好友
梁红玉	韩世忠	父母	夫妻
毛泽东	毛泽建	夫妻	兄弟姐妹
李戡	李敖	夫妻	父母
钱永刚	钱永真	父母	兄弟姐妹
罗敏庄	陈国邦	夫妻	夫妻
孟小冬	梅兰芳	夫妻	情侣
康熙	顺治	父母	父母
李戡	李敖	夫妻	父母
杨绛	钱钟书	父母	夫妻
杨玄琰	杨玉环	夫妻	父母
莫凡	袁惟仁	兄弟姐妹	合作
周芷若	张无忌	夫妻	夫妻
胡适	冯顺弟	父母	父母
刘半农	钱玄同	父母	合作
朱宏钧	白岩松	兄弟姐妹	夫妻
钱学森	钱永健	夫妻	亲戚
孙权	甘宁	兄弟姐妹	上下级
夏明震	曾志	夫妻	夫妻
叶挺	叶正大	师生	父母
宗泽	岳飞	夫妻	上下级
陈数	赵胤胤	夫妻	夫妻
戴俊英	顾慰连	夫妻	夫妻
吴镇宇	黄秋生	合作	好友
汪小菲	张雨绮	夫妻	情侣
杨小娟	吕良伟	父母	夫妻
吕良伟	吕善萤	父母	亲戚
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
佟守本	张振圻	合作	师生
孟非	乐嘉	夫妻	合作
姚玉兰	杜月笙	父母	夫妻
郑涌	黄希庭	合作	合作
劫夫	黄春跃	夫妻	父母
姚冶诚	蒋纬国	父母	父母
许爱周	许晋亨	父母	祖孙
许爱周	许士芬	父母	父母
许晋亨	李嘉欣	夫妻	夫妻
许士芬	许世勋	父母	兄弟姐妹
芳艳芬	任剑辉	合作	合作
俞大维	俞扬和	父母	父母
蒋经国	蒋孝章	父母	父母
俞扬和	蒋孝章	父母	夫妻
刘嘉玲	梁朝伟	夫妻	夫妻
毕彦君	陈晓旭	夫妻	夫妻
莫凡	袁惟仁	兄弟姐妹	合作
王弢	刘璇	夫妻	夫妻
蔡依珊	连胜文	夫妻	夫妻
曹羲	曹爽	父母	兄弟姐妹
曹羲	曹真	父母	父母
金敬姬	金正日	父母	兄弟姐妹
蒋经国	蒋孝章	父母	父母
刘嘉玲	梁朝伟	夫妻	夫妻
曹植	曹操	父母	父母
孔明	孔太公	父母	父母
孔继宁	孔令华	父母	父母
孔令华	孔从洲	父母	父母
李彦宏	马东敏	夫妻	夫妻
欧阳锋	西狂	父母	父母
黄志忠	何音	夫妻	夫妻
王宝强	马蓉	夫妻	夫妻
冯跋	冯弘	兄弟姐妹	兄弟姐妹
安田泰敏	大枝雄介	师生	师生
巩汉林	潘长江	父母	合作
司马衷	司马炎	夫妻	父母
司马炎	晋惠帝	夫妻	父母
李德全	冯理达	父母	父母
王仁甫	5566	情侣	合作
曹节	曹丕	父母	兄弟姐妹
曹节	刘协	父母	夫妻
刘表	刘备	上下级	兄弟姐妹
尚长荣	侯喜瑞	父母	师生
张茜	张卫健	夫妻	夫妻
黄兴	徐宗汉	夫妻	夫妻
曹节	刘协	父母	夫妻
小白玉梅	白玉玲	师生	同门
李多奎	王梦云	师生	师生
郭德纲	张文顺	师生	合作
田秉毅	李永波	夫妻	合作
唐生明	唐生智	父母	兄弟姐妹
周有光	张允和	夫妻	夫妻
张兆和	沈从文	兄弟姐妹	夫妻
杨采妮	邱韶智	夫妻	情侣
胡瓜	丁柔安	情侣	情侣
戴志诚	姜昆	合作	合作
冉求	孔子	父母	师生
赵本山	小沈阳	夫妻	师生
傅冬菊	傅作义	父母	父母
毛泽东	贺子珍	夫妻	夫妻
馀彩琴	戚雅仙	合作	合作
李嘉欣	许晋亨	情侣	夫妻
王学兵	冯钰棋	夫妻	夫妻
鲍蕾	陆毅	夫妻	夫妻
朱泳腾	兰雨霖	夫妻	夫妻
徐帆	冯小刚	夫妻	夫妻
梁静慈	甄子丹	夫妻	夫妻
孙权	孙策	上下级	兄弟姐妹
曾明娜	赖昌星	夫妻	夫妻
李克勤	卢淑仪	夫妻	夫妻
柳兰芳	朱超伦	夫妻	夫妻
朱孝天	周渝民	合作	合作
言承旭	吴建豪	夫妻	合作
费孝通	瞿同祖	合作	同门
林梦飞	林华国	父母	父母
唐宪宗	唐宣宗	父母	父母
张茜	张卫健	夫妻	夫妻
侯震	侯宝林	合作	祖孙
邢夫人	王熙凤	夫妻	父母
彭德怀	浦安修	夫妻	夫妻
唐太宗	长孙皇后	夫妻	夫妻
长孙皇后	李世民	夫妻	夫妻
张东健	高小英	情侣	夫妻
杨小楼	刘宗杨	父母	祖孙
刘宗杨	刘砚芳	父母	父母
斯内德	约兰特	情侣	情侣
薛世恒	陈法拉	情侣	情侣
王瑞芝	梅雨田	师生	师生
莫科	姚明	夫妻	合作
孙权	孙策	父母	兄弟姐妹
王大庆	孙昌宁	父母	父母
刘永好	刘永行	夫妻	兄弟姐妹
郭启儒	侯宝林	合作	合作
林黛玉	王熙凤	夫妻	亲戚
小龙女	杨过	夫妻	夫妻
司马炎	左芬	夫妻	夫妻
翁家明	俞小凡	情侣	夫妻
李增瑞	冯巩	合作	同门
松赞干布	文成公主	夫妻	夫妻
曹操	曹植	父母	父母
高英培	孟凡贵	合作	师生
赵惠文王	赵武灵王	父母	父母
谭小培	谭鑫培	父母	父母
毛泽东	毛泽建	夫妻	兄弟姐妹
慕容垂	慕容暐	父母	亲戚
侯耀文	袁茵	夫妻	夫妻
陶铸	曾志	夫妻	夫妻
夏明震	曾志	夫妻	夫妻
刘国梁	刘国栋	兄弟姐妹	兄弟姐妹
周汤豪	比莉	夫妻	父母
刘銮雄	吕丽君	情侣	夫妻
薛觉先	白雪仙	合作	师生
贾巧姐	王熙凤	父母	父母
唐太宗	长孙皇后	夫妻	夫妻
池城	李宝英	夫妻	情侣
邱嘉雄	林月云	情侣	情侣
李世济	程砚秋	师生	父母
胡松华	张曼茹	夫妻	夫妻
于芬	郭晶晶	师生	师生
邱羿霖	孙道存	情侣	情侣
杨振德	邓颖超	夫妻	父母
李小璐	张伟欣	父母	父母
赵岭	袁立	夫妻	夫妻
王钏如	蔡伯翰	夫妻	父母
陈道明	陈格	父母	父母
高新新	阿泰斯特	夫妻	情侣
甘泗淇	李贞	夫妻	夫妻
任剑辉	芳艳芬	合作	合作
卢俊义	燕青	兄弟姐妹	上下级
刘文步	郑福山	合作	合作
吉增和	孟广美	情侣	情侣
俞大维	俞扬和	父母	父母
蒋经国	蒋孝章	父母	父母
俞扬和	蒋孝章	父母	夫妻
芳艳芬	任剑辉	合作	合作
郭沫若	佐藤富子	夫妻	夫妻
蒋勤勤	陈建斌	夫妻	夫妻
孙甜甜	李婷	师生	合作
彭真	傅彦	父母	父母
松赞干布	文成公主	夫妻	夫妻
廖仲恺	廖梦醒	夫妻	父母
韩仁均	韩寒	夫妻	父母
松雪芳	方小亚	师生	师生
赵又廷	陈意涵	合作	情侣
蒋勤勤	陈建斌	夫妻	夫妻
侯耀华	侯军	父母	父母
佩佩	卡瓦略	合作	合作
苗彤	苗侨伟	情侣	父母
杨步伟	赵元任	夫妻	夫妻
吉增和	孟广美	情侣	情侣
齐信英	赵英颇	师生	师生
陈祖涛	陈昌浩	父母	父母
陆士嘉	张维	夫妻	夫妻
汪涵	杨乐乐	夫妻	夫妻
江语晨	周杰伦	情侣	情侣
夏明震	曾志	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
彭德怀	彭梅魁	夫妻	亲戚
李泽楷	梁洛施	夫妻	情侣
严铮	钟丽缇	夫妻	夫妻
孙甜甜	李婷	父母	合作
姜昆	戴志诚	合作	合作
孙凤有	孙英杰	夫妻	父母
赵孟頫	赵奕	父母	父母
热力兄弟	葛优	好友	好友
曹郁	姚晨	情侣	夫妻
刘惠宁	陈小艺	夫妻	夫妻
金敬姬	金正日	夫妻	兄弟姐妹
慕容仁	慕容皝	父母	兄弟姐妹
慕容皝	慕容廆	父母	父母
郑嘉颖	徐靖雯	情侣	情侣
谢晖	佟晨洁	夫妻	夫妻
蒙毅	蒙恬	父母	兄弟姐妹
马廷强	黎姿	夫妻	夫妻
张纯华	周璟馨	父母	父母
李兆基	李家杰	夫妻	父母
邢夫人	王熙凤	夫妻	父母
马廷强	黎姿	夫妻	夫妻
孙权	甘宁	兄弟姐妹	上下级
梅绍武	梅兰芳	夫妻	父母
李光洁	郝蕾	夫妻	夫妻
李菁	何云伟	合作	合作
李菁	高峰	合作	同门
保剑锋	何珈好	夫妻	夫妻
孔令华	孔继宁	父母	父母
李敏	孔继宁	父母	父母
李敏	贺子珍	父母	父母
贺子珍	毛泽东	父母	夫妻
王祖贤	齐秦	夫妻	情侣
唐宪宗	唐宣宗	父母	父母
苗彤	苗侨伟	情侣	父母
李宗仁	胡友松	夫妻	夫妻
龙云	林黛	父母	父母
林黛玉	贾雨村	父母	师生
林黛玉	王熙凤	父母	亲戚
小龙女	杨过	夫妻	夫妻
王美人	刘协	父母	父母
冯元桢	喻娴	夫妻	夫妻
贾敬	贾代化	父母	父母
汪平孙	汪小亭	父母	父母
汪野亭	汪小亭	父母	父母
安贞焕	李惠媛	夫妻	夫妻
徐丽丽	徐玉华	合作	兄弟姐妹
舒淇	彭于晏	夫妻	情侣
热力兄弟	葛优	师生	好友
陈英雪	古巨基	夫妻	情侣
王羲之	卫夫人	夫妻	师生
石鲁	冯建吴	夫妻	兄弟姐妹
张东健	高小英	夫妻	夫妻
李丹宇	李望知	夫妻	父母
徐绪直	徐世昌	父母	父母
吴小楼	尹桂芳	合作	合作
徐天红	袁雪芬	合作	合作
徐天红	竺水招	合作	合作
徐天红	范瑞娟	合作	合作
傅全香	徐玉兰	合作	合作
袁雪芬	范瑞娟	合作	合作
徐帆	冯小刚	夫妻	夫妻
鲍蕾	陆毅	夫妻	夫妻
鲍莉	陆毅	夫妻	兄弟姐妹
谢觉哉	王定国	夫妻	夫妻
犬夜叉	杀生丸	兄弟姐妹	兄弟姐妹
韩林儿	韩山童	父母	父母
戴乃迭	杨宪益	夫妻	夫妻
章小蕙	钟镇涛	夫妻	夫妻
黄飞鸿	黄汉森	父母	师生
Selina	任容萱	父母	兄弟姐妹
张茜	张卫健	夫妻	夫妻
李嘉欣	许晋亨	夫妻	夫妻
王迎春	杨力舟	师生	夫妻
侯耀文	袁茵	夫妻	夫妻
黄雅珉	张世	夫妻	情侣
王艳	王志才	父母	夫妻
赵一荻	张学良	兄弟姐妹	夫妻
黄睿靓	陈致中	父母	夫妻
黄睿靓	陈水扁	父母	父母
黄睿靓	陈幸妤	父母	亲戚
陈水扁	陈幸妤	父母	父母
茹莱卿	张洪林	师生	同门
冯珏	冯友兰	父母	祖孙
松赞干布	文成公主	夫妻	夫妻
陈奕迅	徐濠萦	夫妻	夫妻
陈裘大	徐濠萦	夫妻	父母
郑芝龙	郑成功	父母	父母
元彪	成龙	同门	同门
肖桂云	李前宽	夫妻	夫妻
闻立鹤	闻一多	父母	父母
侯耀文	袁茵	夫妻	夫妻
李嘉欣	许晋亨	夫妻	夫妻
杨德昌	蔡琴	夫妻	夫妻
范瑞娟	袁雪芬	合作	合作
安贞焕	李惠媛	夫妻	夫妻
李小双	李大双	父母	兄弟姐妹
甘泗淇	李贞	父母	夫妻
大乔	孙策	兄弟姐妹	夫妻
江泽民	江上青	父母	父母
唐太宗	长孙无忌	父母	兄弟姐妹
关楚耀	卫诗	情侣	情侣
周令飞	周海婴	父母	父母
周令飞	鲁迅	父母	祖孙
侯耀华	侯耀文	师生	兄弟姐妹
侯耀华	侯宝林	师生	父母
王恂	郭守敬	合作	合作
贺龙	贺捷生	父母	父母
赵岭	袁立	夫妻	夫妻
严庆龄	吴舜文	夫妻	夫妻
谷羽	胡乔木	夫妻	夫妻
黄铁良	陈凤芸	夫妻	夫妻
李嘉欣	许晋亨	情侣	夫妻
裘桂仙	张凤台	师生	师生
陈祖涛	陈昌浩	父母	父母
叶群	林立果	夫妻	父母
宋美龄	蒋介石	父母	夫妻
张宁益	马琳	夫妻	夫妻
宋美龄	蒋介石	夫妻	夫妻
刘谌	刘禅	夫妻	父母
关楚耀	卫诗	情侣	情侣
吕雉	刘邦	夫妻	夫妻
马玉成	程小东	师生	师生
邱嘉雄	林月云	夫妻	情侣
谭伯如	佟大方	父母	合作
小林光一	小林泉美	师生	父母
道光	寿安固伦公主	父母	夫妻
大乔	孙策	兄弟姐妹	夫妻
李清照	赵明诚	父母	夫妻
陈小春	应采儿	夫妻	夫妻
郑在成	李龙大	合作	合作
黄睿靓	陈致中	父母	夫妻
吴法宪	林彪	父母	合作
林立果	林彪	父母	父母
王晓凌	曹露双	合作	合作
张茜	张卫健	夫妻	夫妻
慕容暐	慕容垂	父母	亲戚
江南春	陈玉佳	夫妻	夫妻
陈纳德	陈香梅	夫妻	夫妻
金俊秀	金俊浩	父母	兄弟姐妹
徐秋京	徐立清	父母	父母
黄志忠	何音	夫妻	夫妻
陈道明	杜宪	父母	夫妻
陈道明	陈格	父母	父母
杜宪	陈格	父母	父母
虞姬	项羽	夫妻	夫妻
江世俊	江上青	父母	兄弟姐妹
江泽民	江上青	父母	父母
言承旭	关颖	夫妻	情侣
卞学鐄	赵元任	夫妻	父母
东山纪之	木村佳乃	夫妻	夫妻
赵岭	袁立	夫妻	夫妻
佐藤屋登	蒋百里	夫妻	夫妻
刘永好	刘永行	兄弟姐妹	兄弟姐妹
